0 truite(s) brune(s), 0 brochet(s), 1 doré(s)
0 truite(s) brune(s), 1 brochet(s), 0 doré(s)
0 truite(s) brune(s), 2 brochet(s), 0 doré(s)
1 truite(s) brune(s), 0 brochet(s), 0 doré(s)
1 truite(s) brune(s), 0 brochet(s), 1 doré(s)
1 truite(s) brune(s), 1 brochet(s), 0 doré(s)
2 truite(s) brune(s), 0 brochet(s), 0 doré(s)
2 truite(s) brune(s), 1 brochet(s), 0 doré(s)
3 truite(s) brune(s), 0 brochet(s), 0 doré(s)
3 truite(s) brune(s), 1 brochet(s), 0 doré(s)
4 truite(s) brune(s), 0 brochet(s), 0 doré(s)
4 truite(s) brune(s), 1 brochet(s), 0 doré(s)
5 truite(s) brune(s), 0 brochet(s), 0 doré(s)
5 truite(s) brune(s), 1 brochet(s), 0 doré(s)
6 truite(s) brune(s), 0 brochet(s), 0 doré(s)
6 truite(s) brune(s), 1 brochet(s), 0 doré(s)
7 truite(s) brune(s), 0 brochet(s), 0 doré(s)
7 truite(s) brune(s), 1 brochet(s), 0 doré(s)
8 truite(s) brune(s), 0 brochet(s), 0 doré(s)
8 truite(s) brune(s), 1 brochet(s), 0 doré(s)
9 truite(s) brune(s), 0 brochet(s), 0 doré(s)
9 truite(s) brune(s), 1 brochet(s), 0 doré(s)
10 truite(s) brune(s), 0 brochet(s), 0 doré(s)
10 truite(s) brune(s), 1 brochet(s), 0 doré(s)
11 truite(s) brune(s), 0 brochet(s), 0 doré(s)
11 truite(s) brune(s), 1 brochet(s), 0 doré(s)
12 truite(s) brune(s), 0 brochet(s), 0 doré(s)
12 truite(s) brune(s), 1 brochet(s), 0 doré(s)
13 truite(s) brune(s), 0 brochet(s), 0 doré(s)
13 truite(s) brune(s), 1 brochet(s), 0 doré(s)
14 truite(s) brune(s), 0 brochet(s), 0 doré(s)
14 truite(s) brune(s), 1 brochet(s), 0 doré(s)
15 truite(s) brune(s), 0 brochet(s), 0 doré(s)
15 truite(s) brune(s), 1 brochet(s), 0 doré(s)
16 truite(s) brune(s), 0 brochet(s), 0 doré(s)
16 truite(s) brune(s), 1 brochet(s), 0 doré(s)
17 truite(s) brune(s), 0 brochet(s), 0 doré(s)
17 truite(s) brune(s), 1 brochet(s), 0 doré(s)
18 truite(s) brune(s), 0 brochet(s), 0 doré(s)
18 truite(s) brune(s), 1 brochet(s), 0 doré(s)
19 truite(s) brune(s), 0 brochet(s), 0 doré(s)
19 truite(s) brune(s), 1 brochet(s), 0 doré(s)
20 truite(s) brune(s), 0 brochet(s), 0 doré(s)
20 truite(s) brune(s), 1 brochet(s), 0 doré(s)
21 truite(s) brune(s), 0 brochet(s), 0 doré(s)
21 truite(s) brune(s), 1 brochet(s), 0 doré(s)
22 truite(s) brune(s), 0 brochet(s), 0 doré(s)
22 truite(s) brune(s), 1 brochet(s), 0 doré(s)
23 truite(s) brune(s), 0 brochet(s), 0 doré(s)
23 truite(s) brune(s), 1 brochet(s), 0 doré(s)
24 truite(s) brune(s), 0 brochet(s), 0 doré(s)
24 truite(s) brune(s), 1 brochet(s), 0 doré(s)
25 truite(s) brune(s), 0 brochet(s), 0 doré(s)
25 truite(s) brune(s), 1 brochet(s), 0 doré(s)
26 truite(s) brune(s), 0 brochet(s), 0 doré(s)
26 truite(s) brune(s), 1 brochet(s), 0 doré(s)
27 truite(s) brune(s), 0 brochet(s), 0 doré(s)
27 truite(s) brune(s), 1 brochet(s), 0 doré(s)
28 truite(s) brune(s), 0 brochet(s), 0 doré(s)
28 truite(s) brune(s), 1 brochet(s), 0 doré(s)
29 truite(s) brune(s), 0 brochet(s), 0 doré(s)
29 truite(s) brune(s), 1 brochet(s), 0 doré(s)
30 truite(s) brune(s), 0 brochet(s), 0 doré(s)
30 truite(s) brune(s), 1 brochet(s), 0 doré(s)
31 truite(s) brune(s), 0 brochet(s), 0 doré(s)
31 truite(s) brune(s), 1 brochet(s), 0 doré(s)
32 truite(s) brune(s), 0 brochet(s), 0 doré(s)
32 truite(s) brune(s), 1 brochet(s), 0 doré(s)
33 truite(s) brune(s), 0 brochet(s), 0 doré(s)
33 truite(s) brune(s), 1 brochet(s), 0 doré(s)
34 truite(s) brune(s), 0 brochet(s), 0 doré(s)
34 truite(s) brune(s), 1 brochet(s), 0 doré(s)
35 truite(s) brune(s), 0 brochet(s), 0 doré(s)
35 truite(s) brune(s), 1 brochet(s), 0 doré(s)
36 truite(s) brune(s), 0 brochet(s), 0 doré(s)
36 truite(s) brune(s), 1 brochet(s), 0 doré(s)
37 truite(s) brune(s), 0 brochet(s), 0 doré(s)
37 truite(s) brune(s), 1 brochet(s), 0 doré(s)
38 truite(s) brune(s), 0 brochet(s), 0 doré(s)
38 truite(s) brune(s), 1 brochet(s), 0 doré(s)
39 truite(s) brune(s), 0 brochet(s), 0 doré(s)
39 truite(s) brune(s), 1 brochet(s), 0 doré(s)
40 truite(s) brune(s), 0 brochet(s), 0 doré(s)
40 truite(s) brune(s), 1 brochet(s), 0 doré(s)
41 truite(s) brune(s), 0 brochet(s), 0 doré(s)
41 truite(s) brune(s), 1 brochet(s), 0 doré(s)
42 truite(s) brune(s), 0 brochet(s), 0 doré(s)
42 truite(s) brune(s), 1 brochet(s), 0 doré(s)
43 truite(s) brune(s), 0 brochet(s), 0 doré(s)
43 truite(s) brune(s), 1 brochet(s), 0 doré(s)
44 truite(s) brune(s), 0 brochet(s), 0 doré(s)
44 truite(s) brune(s), 1 brochet(s), 0 doré(s)
